snapshot_date,symbol,contract_date,label,tenor,price
2026-05-12,JCV26,2026-10-01,Oct 2026,5,515.0
2026-05-12,JCX26,2026-11-01,Nov 2026,6,510.0
2026-05-12,JCZ26,2026-12-01,Dec 2026,7,510.0
2026-05-13,JCK26,2026-05-01,May 2026,0,591.75
2026-05-13,JCM26,2026-06-01,Jun 2026,1,562.5
2026-05-13,JCN26,2026-07-01,Jul 2026,2,525.0
2026-05-13,JCQ26,2026-08-01,Aug 2026,3,522.5
2026-05-13,JCU26,2026-09-01,Sep 2026,4,520.0
2026-05-13,JCV26,2026-10-01,Oct 2026,5,520.0
2026-05-13,JCX26,2026-11-01,Nov 2026,6,520.0
2026-05-13,JCZ26,2026-12-01,Dec 2026,7,520.0
2026-05-14,JCK26,2026-05-01,May 2026,0,591.75
2026-05-14,JCM26,2026-06-01,Jun 2026,1,562.5
2026-05-14,JCN26,2026-07-01,Jul 2026,2,525.0
2026-05-14,JCQ26,2026-08-01,Aug 2026,3,522.5
2026-05-14,JCU26,2026-09-01,Sep 2026,4,520.0
2026-05-14,JCV26,2026-10-01,Oct 2026,5,520.0
2026-05-14,JCX26,2026-11-01,Nov 2026,6,520.0
2026-05-14,JCZ26,2026-12-01,Dec 2026,7,520.0
2026-05-15,JCK26,2026-05-01,May 2026,0,586.75
2026-05-15,JCM26,2026-06-01,Jun 2026,1,572.5
2026-05-15,JCN26,2026-07-01,Jul 2026,2,550.0
2026-05-15,JCQ26,2026-08-01,Aug 2026,3,540.0
2026-05-15,JCU26,2026-09-01,Sep 2026,4,540.0
2026-05-15,JCV26,2026-10-01,Oct 2026,5,530.0
2026-05-15,JCX26,2026-11-01,Nov 2026,6,527.5
2026-05-15,JCZ26,2026-12-01,Dec 2026,7,525.0
2026-05-16,JCK26,2026-05-01,May 2026,0,586.25
2026-05-16,JCM26,2026-06-01,Jun 2026,1,577.0
2026-05-16,JCN26,2026-07-01,Jul 2026,2,547.5
2026-05-16,JCQ26,2026-08-01,Aug 2026,3,545.0
2026-05-16,JCU26,2026-09-01,Sep 2026,4,545.0
2026-05-16,JCV26,2026-10-01,Oct 2026,5,530.0
2026-05-16,JCX26,2026-11-01,Nov 2026,6,527.5
2026-05-16,JCZ26,2026-12-01,Dec 2026,7,525.0
2026-05-17,JCK26,2026-05-01,May 2026,0,586.25
2026-05-17,JCM26,2026-06-01,Jun 2026,1,577.0
2026-05-17,JCN26,2026-07-01,Jul 2026,2,547.5
2026-05-17,JCQ26,2026-08-01,Aug 2026,3,545.0
2026-05-17,JCU26,2026-09-01,Sep 2026,4,545.0
2026-05-17,JCV26,2026-10-01,Oct 2026,5,530.0
2026-05-17,JCX26,2026-11-01,Nov 2026,6,527.5
2026-05-17,JCZ26,2026-12-01,Dec 2026,7,525.0
2026-05-18,JCK26,2026-05-01,May 2026,0,586.25
2026-05-18,JCM26,2026-06-01,Jun 2026,1,577.0
2026-05-18,JCN26,2026-07-01,Jul 2026,2,547.5
2026-05-18,JCQ26,2026-08-01,Aug 2026,3,545.0
2026-05-18,JCU26,2026-09-01,Sep 2026,4,545.0
2026-05-18,JCV26,2026-10-01,Oct 2026,5,530.0
2026-05-18,JCX26,2026-11-01,Nov 2026,6,527.5
2026-05-18,JCZ26,2026-12-01,Dec 2026,7,525.0
2026-05-19,JCK26,2026-05-01,May 2026,0,585.75
2026-05-19,JCM26,2026-06-01,Jun 2026,1,575.0
2026-05-19,JCN26,2026-07-01,Jul 2026,2,547.5
2026-05-19,JCQ26,2026-08-01,Aug 2026,3,545.0
